,external_author_id,author,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,account_type,retweet,account_category,new_june_2018,alt_external_id,tweet_id,article_url,tco1_step1,tco2_step1,tco3_step1
739081,2495567768,DAILYSANFRAN,New Year’s 2016: Video – The top 10 entertainment moments of 2015  #news,United States,English,1/1/2016 4:34,1/1/2016 4:34,5256,13459,20183,,local,0,NewsFeed,0,2495567768,682781965150326785,http://twitter.com/DailySanFran/statuses/682781965150326785,,,
739082,2495567768,DAILYSANFRAN,The Latest: Obama returns to vacation home after golf  #politics,United States,English,1/1/2016 4:49,1/1/2016 4:49,5256,13459,20184,,local,0,NewsFeed,0,2495567768,682785776740925440,http://twitter.com/DailySanFran/statuses/682785776740925440,,,
739083,2495567768,DAILYSANFRAN,Uber: Expect higher prices on New Year’s Eve  #news,United States,English,1/1/2016 4:54,1/1/2016 4:54,5256,13459,20185,,local,0,NewsFeed,0,2495567768,682786855511707648,http://twitter.com/DailySanFran/statuses/682786855511707648,,,
739084,2495567768,DAILYSANFRAN,Uber hits 1 billion rides  #news,United States,English,1/1/2016 4:59,1/1/2016 5:00,5256,13459,20186,,local,0,NewsFeed,0,2495567768,682788280736169984,http://twitter.com/DailySanFran/statuses/682788280736169984,,,
739085,2495567768,DAILYSANFRAN,Throngs usher in 2016 at bash in New York’s Times Square  #news,United States,English,1/1/2016 5:09,1/1/2016 5:09,5256,13459,20187,,local,0,NewsFeed,0,2495567768,682790783074709504,http://twitter.com/DailySanFran/statuses/682790783074709504,,,
739086,2495567768,DAILYSANFRAN,Video: Santa Clara firefighter arrested in connection to killing dog in Napa  #news,United States,English,1/1/2016 5:38,1/1/2016 5:38,5256,13459,20188,,local,0,NewsFeed,0,2495567768,682798022187597824,http://twitter.com/DailySanFran/statuses/682798022187597824,,,
739087,2495567768,DAILYSANFRAN,San Francisco police investigating shooting outside police station  #news,United States,English,1/1/2016 5:51,1/1/2016 5:51,5256,13459,20189,,local,0,NewsFeed,0,2495567768,682801295099465729,http://twitter.com/DailySanFran/statuses/682801295099465729,,,
739088,2495567768,DAILYSANFRAN,"Trump : 'I have a very big lead and I intend to keep it""  #politics",United States,English,1/1/2016 6:00,1/1/2016 6:00,5256,13459,20190,,local,0,NewsFeed,0,2495567768,682803456290103296,http://twitter.com/DailySanFran/statuses/682803456290103296,,,
739089,2495567768,DAILYSANFRAN,Video: Suspects steal multiple cars from car dealership’s service in San Francisco  #news,United States,English,1/1/2016 6:05,1/1/2016 6:06,5256,13459,20191,,local,0,NewsFeed,0,2495567768,682804908668522496,http://twitter.com/DailySanFran/statuses/682804908668522496,,,
739090,2495567768,DAILYSANFRAN,"New Year’s Eve 2015: Photos, tweets, reaction  #news",United States,English,1/1/2016 6:29,1/1/2016 6:29,5256,13459,20192,,local,0,NewsFeed,0,2495567768,682810765431050240,http://twitter.com/DailySanFran/statuses/682810765431050240,,,
739091,2495567768,DAILYSANFRAN,KRON 2015 Favorite: Inside the cockpit with the Blue Angels  #news,United States,English,1/1/2016 7:03,1/1/2016 7:03,5256,13459,20193,,local,0,NewsFeed,0,2495567768,682819377977151488,http://twitter.com/DailySanFran/statuses/682819377977151488,,,
739092,2495567768,DAILYSANFRAN,Dine and Dish: Great champagne for under $20  #news,United States,English,1/1/2016 7:14,1/1/2016 7:14,5256,13459,20194,,local,0,NewsFeed,0,2495567768,682822073824063490,http://twitter.com/DailySanFran/statuses/682822073824063490,,,
739093,2495567768,DAILYSANFRAN,"New Year’s 2016: San Francisco fireworks show, countdown  #news",United States,English,1/1/2016 9:19,1/1/2016 9:20,5255,13458,20195,,local,0,NewsFeed,0,2495567768,682853761966968832,http://twitter.com/DailySanFran/statuses/682853761966968832,,,
774389,1660186831,ADRGREERR,"Gospel music--shit, maybe music in general--wouldn't be the genius that it is without the blaqueer imagination.",United States,English,1/1/2016 18:45,1/1/2016 18:45,391,189,613,RETWEET,Left,1,LeftTroll,0,1660186831,682996068217274368,http://twitter.com/AdrGreerr/statuses/682996068217274368,,,
774390,1660186831,ADRGREERR,"If Kim Kardashian is Kanye West's musical muse, our ears are doomed.",United States,English,1/1/2016 18:45,1/1/2016 18:45,391,189,614,RETWEET,Left,1,LeftTroll,0,1660186831,682996095576756224,http://twitter.com/AdrGreerr/statuses/682996095576756224,,,
774391,1660186831,ADRGREERR,My best RTs this week came from: @MichaelAWoodJr @HommedePaix1 @UTZAAKE @dierdrelewis #thankSAll Who were yours? https://t.co/OevLn6o0Uq,United States,English,1/1/2016 18:45,1/1/2016 18:45,391,189,615,RETWEET,Left,1,LeftTroll,0,1660186831,682996124790083584,http://twitter.com/AdrGreerr/statuses/682996124790083584,http://sumall.com/thankyou,,
798913,1652987412,ALECMOOOOODY,"Pusha T's first act as GOOD Music president should be hanging out with Kanye in the studio and telling him ""Nope.""",United States,English,1/1/2016 18:30,1/1/2016 18:30,457,181,650,RETWEET,Left,1,LeftTroll,0,1652987412,682992361891205121,http://twitter.com/AlecMooooody/statuses/682992361891205121,,,
923659,1652262638,ANTONHAYHAY,None you weirdo RT @liddozulux: Whos your future daughter https://t.co/obwYa04rTL,United States,English,1/1/2016 18:32,1/1/2016 18:32,397,189,518,RETWEET,Left,1,LeftTroll,0,1652262638,682992858119405569,http://twitter.com/AntonHayHay/statuses/682992858119405569,https://twitter.com/liddozulux/status/682732968599670784/photo/1,,
923660,1652262638,ANTONHAYHAY,James Surowiecki selects the five most important business stories of 2015: https://t.co/mQqCQqEh5J,United States,English,1/1/2016 18:32,1/1/2016 18:32,397,189,520,RETWEET,Left,1,LeftTroll,0,1652262638,682992908174278656,http://twitter.com/AntonHayHay/statuses/682992908174278656,http://nyer.cm/i8v462J,,
974135,2944766250,ATLANTA_ONLINE,Women Accused of Stealing in Front of Kids https://t.co/I0Fs26aX93 \| https://t.co/1KPXto2HfW https://t.co/7rxYZHz1xr,United States,English,1/1/2016 0:21,1/1/2016 0:21,10376,14655,7304,,local,0,NewsFeed,0,2944766250,682718274019196932,http://twitter.com/Atlanta_Online/statuses/682718274019196932,https://twitter.com/Atlanta_Online/status/682718274019196932/photo/1,https://twibble.io,http://twib.in/l/EeKdB6rBro7
974136,2944766250,ATLANTA_ONLINE,"Clemson, Alabama are last teams standing in college football https://t.co/m3lTXl8T6e \| https://t.co/1KPXto2HfW https://t.co/XQ6tfyXgVH",United States,English,1/1/2016 10:28,1/1/2016 10:28,10373,14657,7308,,local,0,NewsFeed,0,2944766250,682870951411761152,http://twitter.com/Atlanta_Online/statuses/682870951411761152,https://twitter.com/Atlanta_Online/status/682870951411761152/photo/1,https://twibble.io,http://twib.in/l/jB68o8GpjA8
974137,2944766250,ATLANTA_ONLINE,Two injured at New Year's Eve party in SW Atlanta https://t.co/iJ8U4aXzAu \| https://t.co/1KPXto2HfW https://t.co/qVaXmo4N15,United States,English,1/1/2016 10:40,1/1/2016 10:40,10373,14658,7309,,local,0,NewsFeed,0,2944766250,682874117435990016,http://twitter.com/Atlanta_Online/statuses/682874117435990016,https://twitter.com/Atlanta_Online/status/682874117435990016/photo/1,https://twibble.io,http://twib.in/l/RxMEE5yjb9n
974138,2944766250,ATLANTA_ONLINE,"Nadine, most human-like robot in the world https://t.co/C6oB8CasBS \| https://t.co/1KPXto2HfW https://t.co/i50DD1UAij",United States,English,1/1/2016 13:38,1/1/2016 13:38,10373,14659,7310,,local,0,NewsFeed,0,2944766250,682918853484019713,http://twitter.com/Atlanta_Online/statuses/682918853484019713,https://twitter.com/Atlanta_Online/status/682918853484019713/photo/1,https://twibble.io,http://twib.in/l/xMBnk4RMMpq
974139,2944766250,ATLANTA_ONLINE,Three shot at New Year's parties https://t.co/uENnhaD0i6 \| https://t.co/1KPXto2HfW,United States,English,1/1/2016 15:31,1/1/2016 15:31,10374,14661,7311,,local,0,NewsFeed,0,2944766250,682947249639313408,http://twitter.com/Atlanta_Online/statuses/682947249639313408,https://twibble.io,http://twib.in/l/XXL4AzLB4kA,
974140,2944766250,ATLANTA_ONLINE,"Wayne Rogers, Trapper John on 'M.A.S.H.,' dies at 82 https://t.co/OT10LxbSwF \| https://t.co/1KPXtnL6oo https://t.co/yYGSnQY32Q",United States,English,1/1/2016 16:09,1/1/2016 16:09,10375,14662,7312,,local,0,NewsFeed,0,2944766250,682956910887317504,http://twitter.com/Atlanta_Online/statuses/682956910887317504,https://twitter.com/Atlanta_Online/status/682956910887317504/photo/1,https://twibble.io,http://twib.in/l/y6ag4q5GXXE
974141,2944766250,ATLANTA_ONLINE,Man crushed by elevator after saving woman https://t.co/bkDXLOOOKa \| https://t.co/1KPXto2HfW https://t.co/YbgGg6SlGM,United States,English,1/1/2016 16:36,1/1/2016 16:36,10375,14662,7313,,local,0,NewsFeed,0,2944766250,682963620527869953,http://twitter.com/Atlanta_Online/statuses/682963620527869953,https://twitter.com/Atlanta_Online/status/682963620527869953/photo/1,https://twibble.io,http://twib.in/l/58eGA9pgpqG
974142,2944766250,ATLANTA_ONLINE,Man killed by hit-and-run driver on I-20 https://t.co/vqrPsXoUlN \| https://t.co/1KPXto2HfW,United States,English,1/1/2016 17:01,1/1/2016 17:01,10375,14662,7314,,local,0,NewsFeed,0,2944766250,682969941377564673,http://twitter.com/Atlanta_Online/statuses/682969941377564673,https://twibble.io,http://twib.in/l/dLAG9LXKGaR,
974143,2944766250,ATLANTA_ONLINE,VIDEO: How Do You Handle a Teething Polar Bear? https://t.co/znmGfNRABX \| https://t.co/1KPXto2HfW https://t.co/iCXzA90VzE,United States,English,1/1/2016 17:09,1/1/2016 17:09,10375,14662,7315,,local,0,NewsFeed,0,2944766250,682971943025246209,http://twitter.com/Atlanta_Online/statuses/682971943025246209,https://twitter.com/Atlanta_Online/status/682971943025246209/photo/1,https://twibble.io,http://twib.in/l/6dA6nkkxgj5
